Forma,Tamaño,Corona Real,Gorro Fiesta,Lazo Rosado,Gorro de Chef,Gorro de Mago,Gorro Pirata,Casco Espacial,Gorro de Lana,Gorro de Baño,Flor Primavera,Gorro Ninja,Lentes Corazón,Lentes Estrella,Visor de Buceo,Auriculares Gato,Orejitas Violeta,Orejas Conejo,Moño Coquette,Varita Mágica,Alas de Hada,Bufanda Calientita
Círculo,Chico,,,,,,,,,,,,,,,,,,,,,
Círculo,Mediano,,,,,,,,,,,,,,,,,,,,,
Círculo,Grande,,,,,,,,,,,,,,,,,,,,,
Mochi,Chico,,,,,,,,,,,,,,,,,,,,,
Mochi,Mediano,,,,,,,,,,,,,,,,,,,,,
Mochi,Grande,,,,,,,,,,,,,,,,,,,,,
Gotita,Chico,,,,,,,,,,,,,,,,,,,,,
Gotita,Mediano,,,,,,,,,,,,,,,,,,,,,
Gotita,Grande,,,,,,,,,,,,,,,,,,,,,
Squircle,Chico,,,,,,,,,,,,,,,,,,,,,
Squircle,Mediano,,,,,,,,,,,,,,,,,,,,,
Squircle,Grande,,,,,,,,,,,,,,,,,,,,,
Dumpling,Chico,,,,,,,,,,,,,,,,,,,,,
Dumpling,Mediano,,,,,,,,,,,,,,,,,,,,,
Dumpling,Grande,,,,,,,,,,,,,,,,,,,,,
